import time: self [us] | cumulative | imported package
import time:      1128 |      36845 |             sqlalchemy.event
import time:      2622 |       2622 |                   sqlalchemy.log
import time:     10386 |      13008 |                 sqlalchemy.pool.base
import time:     98845 |     111852 |               sqlalchemy.pool.events
import time:     13157 |      13157 |                 sqlalchemy.util.queue
import time:      1803 |      14960 |               sqlalchemy.pool.impl
import time:      2878 |     129689 |             sqlalchemy.pool
import time:      7556 |       7556 |                   sqlalchemy.sql.roles
import time:      3426 |       3426 |                   sqlalchemy.inspection
import time:     12289 |      23270 |                 sqlalchemy.sql._typing
import time:      2488 |       2488 |                     sqlalchemy.sql._py_util
import time:      7600 |      10088 |                   sqlalchemy.sql.visitors
import time:      5430 |       5430 |                   sqlalchemy.sql.cache_key
import time:      5402 |       5402 |                     sqlalchemy.sql.operators
import time:      2800 |       8202 |                   sqlalchemy.sql.traversals
import time:     11568 |      35286 |                 sqlalchemy.sql.base
import time:     13063 |      13063 |                   sqlalchemy.sql.coercions
import time:      3131 |       3131 |                         sqlalchemy.sql.annotation
import time:     15934 |      15934 |                             sqlalchemy.sql.type_api
import time:    291233 |     307167 |                           sqlalchemy.sql.elements
import time:      8534 |       8534 |                           sqlalchemy.util.topological
import time:     34120 |     349820 |                         sqlalchemy.sql.ddl
import time:      5892 |       5892 |                                 sqlalchemy.engine._py_processors
import time:      2013 |       7905 |                               sqlalchemy.engine.processors
import time:     21706 |      29610 |                             sqlalchemy.sql.sqltypes
import time:    154147 |     183757 |                           sqlalchemy.sql.selectable
import time:     36225 |     219982 |                         sqlalchemy.sql.schema
import time:     10003 |     582933 |                       sqlalchemy.sql.util
import time:     22442 |     605375 |                     sqlalchemy.sql.dml
import time:      4645 |     610019 |                   sqlalchemy.sql.crud
import time:     37227 |      37227 |                   sqlalchemy.sql.functions
import time:    144732 |     805039 |                 sqlalchemy.sql.compiler
import time:      7117 |       7117 |                   sqlalchemy.sql._dml_constructors
import time:      3959 |       3959 |                   sqlalchemy.sql._elements_constructors
import time:      1826 |       1826 |                   sqlalchemy.sql._selectable_constructors
import time:     10232 |      10232 |                   sqlalchemy.sql.lambdas
import time:      2724 |      25856 |                 sqlalchemy.sql.expression
import time:     32867 |      32867 |                 sqlalchemy.sql.default_comparator
import time:     28692 |      28692 |                   sqlalchemy.sql.events
import time:      3299 |      31990 |                 sqlalchemy.sql.naming
import time:    297661 |    1251967 |               sqlalchemy.sql
import time:       262 |    1252228 |             sqlalchemy.sql.compiler
import time:     20835 |    1439595 |           sqlalchemy.engine.interfaces
import time:      1993 |       1993 |             sqlalchemy.engine._py_util
import time:      2080 |       4072 |           sqlalchemy.engine.util
import time:     11816 |    1455483 |         sqlalchemy.engine.base
import time:     20600 |    1476082 |       sqlalchemy.engine.events
import time:     10064 |      10064 |           sqlalchemy.dialects
import time:      5365 |      15428 |         sqlalchemy.engine.url
import time:      2158 |       2158 |         sqlalchemy.engine.mock
import time:      4930 |      22515 |       sqlalchemy.engine.create
import time:      1842 |       1842 |             sqlalchemy.engine._py_row
import time:     36952 |      38793 |           sqlalchemy.engine.row
import time:     43883 |      82676 |         sqlalchemy.engine.result
import time:      5449 |      88124 |       sqlalchemy.engine.cursor
import time:     36134 |      36134 |       sqlalchemy.engine.reflection
import time:     10996 |    1633849 |     sqlalchemy.engine
import time:      3402 |       3402 |     sqlalchemy.schema
import time:     10115 |      10115 |     sqlalchemy.types
import time:      1386 |       1386 |       sqlalchemy.engine.characteristics
import time:      9267 |      10653 |     sqlalchemy.engine.default
import time:      3904 |    1981183 |   sqlalchemy
import time:      2402 |       2402 |                 sqlalchemy.sql._orm_types
import time:      5437 |       7838 |               sqlalchemy.orm._typing
import time:      7032 |      14869 |             sqlalchemy.orm.base
import time:     11795 |      11795 |             sqlalchemy.orm.mapped_collection
import time:     16666 |      43329 |           sqlalchemy.orm.collections
import time:     14091 |      14091 |             sqlalchemy.orm.path_registry
import time:     20010 |      34101 |           sqlalchemy.orm.interfaces
import time:      9192 |      86620 |         sqlalchemy.orm.attributes
import time:     14016 |     100636 |       sqlalchemy.orm.util
import time:      4094 |     104730 |     sqlalchemy.orm.exc
import time:     11416 |      11416 |         sqlalchemy.orm.state
import time:     69451 |      80867 |       sqlalchemy.orm.instrumentation
import time:      1681 |       1681 |             sqlalchemy.future.engine
